#time TL TR PL PR
1606 18.48 18.47 18.39 18.39
1613 8.37 8.57 8.04 8.19
1621 0.26 0.61 -0.30 -0.04
1629 -6.44 -6.08 -7.18 -6.82
1636 -11.51 -11.14 -12.43 -12.00
1642 -15.62 -15.22 -16.71 -16.56
1648 -18.63 -18.66 -20.10 -21.31
1652 -20.80 -21.13 -22.24 -24.13
1655 -21.86 -22.88 -23.50 -25.66
1702 -22.24 -23.77 -24.09 -26.37
1721 -26.26 -27.76 -28.32 -30.38
1732 -26.85 -27.88 -29.09 -30.77
