#time TL TR PL PR
1619 11.53 11.65 11.27 11.41
1637 -9.36 -8.91 -10.39 -9.61
1643 -13.72 -13.16 -15.06 -14.18
1650 -17.34 -16.61 -18.81 -17.78
1655 -19.87 -19.08 -21.55 -20.67
1701 -21.56 -21.15 -23.56 -23.06
1709 -22.62 -21.93 -24.63 -24.73
1725 -23.19 -22.69 -25.28 -26.08
1822 -26.88 -26.38 -29.16 -29.54
