#time TL TR PL PR 
1542 12.23 11.82 11.88 11.67
1556 2.16 1.55 1.50 1.23
1607 -5.17 -6.07 -6.19 -6.54
1619 -11.05 -12.05 -12.29 -12.74
1633 -13.71 -14.80 -15.11 -15.61
1648 -15.74 -16.89 -17.35 -17.78
1657 -17.78 -18.88 -19.50 -19.87
1713 -19.54 -20.78 -21.33 -21.74
1724 -20.97 -22.18 -22.86 -23.32
1732 -21.85 -23.30 -23.91 -24.47
