#time TL TR PL PR
1619 11.81 11.89 11.60 11.61
1637 -8.58 -7.94 -9.29 -9.07
1643 -12.82 -12.18 -13.71 -13.46
1650 -16.22 -15.47 -17.13 -16.92
1655 -18.76 -17.98 -19.80 -19.67
1701 -20.43 -19.70 -21.70 -21.98
1709 -21.20 -20.76 -22.83 -23.52
1725 -21.76 -21.61 -23.51 -24.63
1822 -25.21 -25.14 -27.17 -27.88
