#Time T_amb V_left V_right I_left I_right humidity T_chill PT100_Paint_left PT100_Paint_right PT100_Tape_left PT100_Tape_right
#time Celsius Volt Volt Ampere Ampere relative Celsius Celsius Celsius Celsius Celsius

1619 22.1 0.00 0.00 0.00 0.00 7.0 8.0 12.0888 12.1876 12.1908 12.1727
1637 21.0 4.42 4.36 1.50 1.50 7.0 8.0 -9.5165 -8.9581 -9.4765 -9.2171
1643 20.8 5.60 5.72 2.00 2.00 7.0 8.0 -14.0690 -13.4560 -14.0659 -13.7638
1650 20.7 7.17 7.05 2.50 2.50 7.0 8.0 -17.7612 -17.0784 -17.7601 -17.4305
1655 20.8 8.55 8.41 3.00 3.00 7.0 8.0 -20.4102 -19.6873 -20.4098 -20.0634
1701 20.9 9.93 9.78 3.50 3.50 7.0 8.0 -22.1130 -21.4573 -22.1310 -21.8372
1709 21.2 11.40 11.20 4.00 4.00 7.0 8.0 -22.8539 -22.2198 -22.8668 -22.6013
1725 21.6 12.96 12.71 4.50 4.50 7.0 8.0 -22.7558 -22.1806 -22.7715 -22.5708
1822 21.0 12.71 12.48 4.50 4.50 7.0 4.0 -24.4534 -23.8579 -24.4850 -24.2241
