 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
=========================================================================================================
 2018-08-08_14:43:03      24.6723             24.6457             24.761              24.7127             
 2018-08-08_14:43:13      24.6735             24.6458             24.7656             24.7121             
 2018-08-08_14:43:23      24.6773             24.6497             24.7638             24.7188             
 2018-08-08_14:43:33      24.6774             24.6515             24.7694             24.7171             
 2018-08-08_14:43:43      24.6819             24.6536             24.7713             24.7193             
 2018-08-08_14:43:53      24.6856             24.6593             24.7725             24.7225             
 2018-08-08_14:44:03      24.6866             24.6607             24.7778             24.7276             
 2018-08-08_14:44:13      24.6883             24.6623             24.7774             24.729              
 2018-08-08_14:44:23      24.6917             24.6647             24.781              24.7319             
 2018-08-08_14:44:33      24.6962             24.6686             24.7848             24.736              
 2018-08-08_14:44:43      24.6957             24.6685             24.7852             24.7355             
 2018-08-08_14:44:53      24.6982             24.673              24.7899             24.738              
 2018-08-08_14:45:03      24.7026             24.6763             24.7923             24.7407             
 2018-08-08_14:45:13      24.7035             24.6772             24.7945             24.7441             
 2018-08-08_14:45:23      24.7091             24.6797             24.7968             24.7482             
 2018-08-08_14:45:33      24.7088             24.6817             24.7975             24.7479             
 2018-08-08_14:45:43      24.7113             24.687              24.8008             24.7518             
 2018-08-08_14:45:53      24.7139             24.6886             24.8034             24.7538             
 2018-08-08_14:46:03      24.717              24.6899             24.8065             24.7561             
 2018-08-08_14:46:13      24.7172             24.6942             24.8086             24.7585             
 2018-08-08_14:46:23      24.7224             24.696              24.8123             24.7613             
 2018-08-08_14:46:33      24.7234             24.6971             24.8159             24.7657             
 2018-08-08_14:46:43      24.7287             24.703              24.8157             24.7689             
 2018-08-08_14:46:53      24.7318             24.7053             24.8195             24.7707             
 2018-08-08_14:47:03      24.7306             24.7055             24.8206             24.7739             
 2018-08-08_14:47:13      24.7369             24.7102             24.8285             24.7747             
 2018-08-08_14:47:23      24.7364             24.7093             24.831              24.7777             
 2018-08-08_14:47:33      24.7419             24.7141             24.8331             24.7838             
 2018-08-08_14:47:43      24.7455             24.7186             24.8355             24.7809             
 2018-08-08_14:47:53      24.7474             24.7195             24.8366             24.7862             
 2018-08-08_14:48:03      24.7507             24.725              24.839              24.7897             
 2018-08-08_14:48:13      24.7527             24.7269             24.8429             24.7929             
 2018-08-08_14:48:23      24.7559             24.7286             24.8464             24.7965             
 2018-08-08_14:48:33      24.7588             24.7314             24.8479             24.7979             
 2018-08-08_14:48:43      24.7639             24.7352             24.8542             24.8015             
 2018-08-08_14:48:53      24.764              24.7399             24.8524             24.8071             
 2018-08-08_14:49:03      24.7669             24.7423             24.8574             24.8109             
 2018-08-08_14:49:13      24.7692             24.7463             24.8625             24.812              
 2018-08-08_14:49:23      24.7744             24.7481             24.865              24.8161             
 2018-08-08_14:49:33      24.7759             24.7521             24.8663             24.8198             
 2018-08-08_14:49:43      24.7788             24.7553             24.8686             24.8219             
 2018-08-08_14:49:53      24.7802             24.7593             24.8726             24.8237             
 2018-08-08_14:50:03      24.7851             24.7606             24.8765             24.8283             
 2018-08-08_14:50:13      24.7875             24.7629             24.88               24.8318             
 2018-08-08_14:50:23      24.7908             24.7647             24.8802             24.833              
 2018-08-08_14:50:33      24.7963             24.7708             24.8852             24.8347             
 2018-08-08_14:50:43      24.7967             24.773              24.8889             24.8395             
 2018-08-08_14:50:53      24.8006             24.7771             24.8915             24.8411             
 2018-08-08_14:51:03      24.8035             24.7791             24.8944             24.8471             
