 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
 2018-08-08_14:51:13      24.8069             24.7831             24.8966             24.8466             
 2018-08-08_14:51:23      24.8083             24.7865             24.9009             24.853              
 2018-08-08_14:51:33      24.813              24.7894             24.9016             24.8576             
 2018-08-08_14:51:43      24.8133             24.7915             24.9055             24.8554             
 2018-08-08_14:51:53      24.8179             24.7916             24.9079             24.8604             
 2018-08-08_14:52:03      24.8224             24.7972             24.9127             24.8653             
 2018-08-08_14:52:13      24.8253             24.8                24.9141             24.8648             
 2018-08-08_14:52:23      24.8293             24.8032             24.9213             24.8683             
 2018-08-08_14:52:33      24.8317             24.8065             24.9237             24.8722             
 2018-08-08_14:52:43      24.8364             24.8091             24.9281             24.8753             
 2018-08-08_14:52:53      24.8381             24.8124             24.9274             24.8767             
 2018-08-08_14:53:03      24.8419             24.8159             24.9304             24.882              
 2018-08-08_14:53:13      24.8464             24.8193             24.934              24.884              
 2018-08-08_14:53:23      24.8452             24.8212             24.9363             24.8853             
 2018-08-08_14:53:33      24.8525             24.8251             24.9413             24.8933             
 2018-08-08_14:53:43      24.8547             24.8289             24.9428             24.8925             
 2018-08-08_14:53:53      24.8558             24.8325             24.9461             24.8954             
 2018-08-08_14:54:03      24.8584             24.8372             24.9487             24.9005             
 2018-08-08_14:54:13      24.8605             24.8354             24.9522             24.9048             
 2018-08-08_14:54:23      24.8675             24.8417             24.9569             24.9066             
 2018-08-08_14:54:33      24.8713             24.8446             24.9619             24.9102             
 2018-08-08_14:54:43      24.8734             24.8494             24.9633             24.9151             
 2018-08-08_14:54:53      24.8771             24.8511             24.9678             24.9178             
 2018-08-08_14:55:03      24.8795             24.8539             24.9695             24.919              
 2018-08-08_14:55:13      24.8825             24.8563             24.9723             24.9241             
 2018-08-08_14:55:23      24.8861             24.8629             24.9803             24.9251             
 2018-08-08_14:55:33      24.8899             24.863              24.9803             24.9281             
 2018-08-08_14:55:43      24.8941             24.867              24.9834             24.9292             
 2018-08-08_14:55:53      24.8964             24.8713             24.9869             24.9355             
 2018-08-08_14:56:03      24.8974             24.8753             24.9909             24.9404             
 2018-08-08_14:56:13      24.9022             24.8778             24.9926             24.9422             
 2018-08-08_14:56:23      24.9055             24.882              24.9952             24.9475             
 2018-08-08_14:56:33      24.9089             24.8859             25.0013             24.9492             
 2018-08-08_14:56:43      24.911              24.8858             25.0022             24.9517             
 2018-08-08_14:56:53      24.9124             24.8909             25.0059             24.9594             
 2018-08-08_14:57:03      24.9205             24.8969             25.0106             24.9633             
 2018-08-08_14:57:13      24.9223             24.8982             25.0159             24.9666             
 2018-08-08_14:57:23      24.9274             24.9025             25.0179             24.9675             
 2018-08-08_14:57:33      24.9295             24.9057             25.0196             24.9724             
 2018-08-08_14:57:43      24.9319             24.9111             25.0261             24.9766             
 2018-08-08_14:57:53      24.9343             24.9138             25.0287             24.9787             
 2018-08-08_14:58:03      24.9416             24.9196             25.0304             24.9807             
 2018-08-08_14:58:13      24.9441             24.9181             25.0344             24.9849             
 2018-08-08_14:58:23      24.9472             24.9249             25.0367             24.9899             
 2018-08-08_14:58:33      24.9474             24.9264             25.042              24.9923             
 2018-08-08_14:58:43      24.9524             24.9266             25.044              24.9941             
 2018-08-08_14:58:53      24.9564             24.9324             25.045              24.9991             
 2018-08-08_14:59:03      24.9594             24.9348             25.0482             24.9992             
 2018-08-08_14:59:13      24.9627             24.9375             25.0493             25.0031             
 2018-08-08_14:59:23      24.9647             24.9414             25.0535             25.0075             
 2018-08-08_14:59:33      24.9673             24.9414             25.0579             25.0106             
 2018-08-08_14:59:43      24.9682             24.9462             25.0579             25.0137             
 2018-08-08_14:59:53      24.9729             24.9491             25.0614             25.0131             
 2018-08-08_15:00:03      24.9739             24.952              25.0645             25.0179             
 2018-08-08_15:00:13      24.9791             24.957              25.0674             25.0204             
 2018-08-08_15:00:23      24.9825             24.9548             25.0695             25.0227             
 2018-08-08_15:00:33      24.9819             24.9572             25.0743             25.024              
 2018-08-08_15:00:43      24.9866             24.9613             25.0776             25.027              
 2018-08-08_15:00:53      24.9896             24.9614             25.079              25.0321             
 2018-08-08_15:01:03      24.9916             24.9655             25.0854             25.0352             
 2018-08-08_15:01:13      24.9938             24.9685             25.0876             25.0371             
 2018-08-08_15:01:23      24.999              24.9724             25.091              25.039              
 2018-08-08_15:01:33      25.001              24.9769             25.0934             25.039              
 2018-08-08_15:01:43      25.0058             24.9783             25.0946             25.0431             
 2018-08-08_15:01:53      25.0061             24.9797             25.0962             25.0461             
 2018-08-08_15:02:03      25.0071             24.9851             25.0978             25.0512             
 2018-08-08_15:02:13      25.0126             24.9853             25.1026             25.0511             
 2018-08-08_15:02:23      25.0135             24.9896             25.1031             25.0562             
 2018-08-08_15:02:33      25.0171             24.9893             25.1071             25.0554             
 2018-08-08_15:02:43      25.0211             24.9912             25.111              25.0576             
 2018-08-08_15:02:53      25.0216             24.9978             25.1135             25.064              
 2018-08-08_15:03:03      25.0253             24.9978             25.1172             25.0661             
 2018-08-08_15:03:13      25.0284             25.005              25.1173             25.0675             
 2018-08-08_15:03:23      25.0283             25.0062             25.1214             25.0724             
 2018-08-08_15:03:33      25.0331             25.0088             25.1241             25.0773             
 2018-08-08_15:03:43      25.0344             25.0121             25.1253             25.0754             
 2018-08-08_15:03:53      25.0415             25.0134             25.1277             25.0794             
 2018-08-08_15:04:03      25.0408             25.0148             25.1342             25.0814             
 2018-08-08_15:04:13      25.0467             25.0191             25.138              25.084              
 2018-08-08_15:04:23      25.0499             25.021              25.1363             25.0892             
 2018-08-08_15:04:33      25.0514             25.026              25.1414             25.0915             
 2018-08-08_15:04:43      25.0551             25.0302             25.1463             25.0935             
 2018-08-08_15:04:53      25.0554             25.0293             25.1478             25.0954             
 2018-08-08_15:05:03      25.0593             25.0327             25.1496             25.1004             
 2018-08-08_15:05:13      25.0622             25.0354             25.1541             25.1044             
 2018-08-08_15:05:23      25.0659             25.0395             25.1567             25.1052             
 2018-08-08_15:05:33      25.068              25.0394             25.1576             25.1098             
 2018-08-08_15:05:43      25.072              25.0463             25.1614             25.1107             
 2018-08-08_15:05:53      25.0739             25.052              25.1641             25.1144             
 2018-08-08_15:06:03      25.0762             25.0513             25.1674             25.1167             
 2018-08-08_15:06:13      25.0807             25.0557             25.1683             25.1183             
 2018-08-08_15:06:23      25.0816             25.0576             25.1707             25.1224             
 2018-08-08_15:06:33      25.0837             25.061              25.1743             25.1266             
 2018-08-08_15:06:43      25.0868             25.0625             25.177              25.1266             
 2018-08-08_15:06:53      25.0928             25.0686             25.1817             25.1332             
 2018-08-08_15:07:03      25.0944             25.0681             25.1818             25.1373             
 2018-08-08_15:07:13      25.0971             25.0735             25.186              25.1366             
 2018-08-08_15:07:23      25.1002             25.0781             25.1893             25.1401             
 2018-08-08_15:07:33      25.1027             25.0782             25.1928             25.1452             
 2018-08-08_15:07:43      25.1068             25.0817             25.198              25.1475             
 2018-08-08_15:07:53      25.1104             25.0846             25.2004             25.1495             
 2018-08-08_15:08:03      25.1121             25.0881             25.204              25.1525             
 2018-08-08_15:08:13      25.1149             25.0903             25.2058             25.1549             
 2018-08-08_15:08:23      25.1199             25.0937             25.2095             25.1596             
 2018-08-08_15:08:33      25.1209             25.0943             25.2115             25.1644             
 2018-08-08_15:08:43      25.1276             25.1014             25.2153             25.1674             
 2018-08-08_15:08:53      25.1269             25.1026             25.2212             25.1691             
 2018-08-08_15:09:03      25.1293             25.1079             25.2248             25.1704             
 2018-08-08_15:09:13      25.1376             25.1112             25.2271             25.1761             
 2018-08-08_15:09:23      25.1402             25.1139             25.2317             25.1776             
 2018-08-08_15:09:33      25.1442             25.117              25.2347             25.1824             
 2018-08-08_15:09:43      25.1439             25.1175             25.2326             25.1853             
 2018-08-08_15:09:53      25.1484             25.1222             25.2384             25.1876             
 2018-08-08_15:10:03      25.1515             25.1258             25.242              25.1908             
 2018-08-08_15:10:13      25.1539             25.1268             25.2453             25.1935             
 2018-08-08_15:10:23      25.1568             25.13               25.2482             25.197              
 2018-08-08_15:10:33      25.1583             25.1335             25.249              25.199              
 2018-08-08_15:10:43      25.1624             25.1372             25.2534             25.2036             
 2018-08-08_15:10:53      25.1662             25.1382             25.2522             25.2053             
 2018-08-08_15:11:03      25.1676             25.1418             25.2589             25.2081             
 2018-08-08_15:11:13      25.1706             25.1438             25.2607             25.2084             
 2018-08-08_15:11:23      25.1744             25.1487             25.263              25.2121             
 2018-08-08_15:11:33      25.1778             25.149              25.2663             25.2156             
 2018-08-08_15:11:43      25.1771             25.15               25.2708             25.218              
 2018-08-08_15:11:53      25.1818             25.1536             25.2741             25.2216             
 2018-08-08_15:12:03      25.1846             25.1573             25.2757             25.2246             
 2018-08-08_15:12:13      25.1861             25.1624             25.2785             25.2281             
 2018-08-08_15:12:23      25.1931             25.1647             25.2786             25.2308             
 2018-08-08_15:12:33      25.1933             25.1688             25.2871             25.2348             
 2018-08-08_15:12:43      25.1976             25.1715             25.2882             25.2352             
 2018-08-08_15:12:53      25.1983             25.174              25.2884             25.2406             
 2018-08-08_15:13:03      25.2024             25.1768             25.2921             25.2413             
 2018-08-08_15:13:13      25.2041             25.1768             25.295              25.243              
 2018-08-08_15:13:23      25.2077             25.1824             25.2979             25.2457             
 2018-08-08_15:13:33      25.2101             25.1856             25.3006             25.2499             
 2018-08-08_15:13:43      25.2145             25.1874             25.3007             25.2551             
 2018-08-08_15:13:53      25.2166             25.1909             25.3074             25.2549             
 2018-08-08_15:14:03      25.2216             25.1953             25.3111             25.2628             
 2018-08-08_15:14:13      25.2245             25.1949             25.3131             25.2616             
 2018-08-08_15:14:23      25.2262             25.2006             25.3197             25.2639             
 2018-08-08_15:14:33      25.2311             25.2044             25.3176             25.2718             
 2018-08-08_15:14:43      25.2318             25.2088             25.3252             25.2716             
 2018-08-08_15:14:53      25.2358             25.2115             25.3282             25.2788             
 2018-08-08_15:15:03      25.2392             25.2154             25.3304             25.2792             
 2018-08-08_15:15:13      25.2423             25.2176             25.336              25.2841             
 2018-08-08_15:15:23      25.2471             25.222              25.3358             25.2843             
 2018-08-08_15:15:33      25.2495             25.2213             25.3385             25.2896             
 2018-08-08_15:15:43      25.2529             25.227              25.3427             25.2941             
 2018-08-08_15:15:53      25.258              25.2323             25.3483             25.2984             
 2018-08-08_15:16:03      25.2587             25.2323             25.3518             25.3024             
 2018-08-08_15:16:13      25.2674             25.2411             25.3583             25.3063             
 2018-08-08_15:16:23      25.2707             25.2436             25.36               25.3135             
 2018-08-08_15:16:33      25.273              25.2516             25.3681             25.315              
 2018-08-08_15:16:43      25.282              25.2565             25.3713             25.3209             
 2018-08-08_15:16:53      25.2836             25.2598             25.3763             25.3233             
 2018-08-08_15:17:03      25.2874             25.2637             25.3787             25.3281             
 2018-08-08_15:17:13      25.2919             25.2649             25.3821             25.3298             
 2018-08-08_15:17:23      25.2941             25.2698             25.3855             25.335              
 2018-08-08_15:17:33      25.2997             25.2695             25.3902             25.3394             
 2018-08-08_15:17:43      25.2992             25.2737             25.3906             25.3385             
 2018-08-08_15:17:53      25.2998             25.2761             25.3933             25.3387             
 2018-08-08_15:18:03      25.3052             25.2775             25.3947             25.3423             
 2018-08-08_15:18:13      25.3074             25.2794             25.3954             25.3448             
 2018-08-08_15:18:23      25.31               25.2825             25.3996             25.3473             
 2018-08-08_15:18:33      25.3123             25.2831             25.4006             25.3481             
 2018-08-08_15:18:43      25.3135             25.2874             25.4015             25.3499             
 2018-08-08_15:18:53      25.3148             25.2881             25.4061             25.3503             
 2018-08-08_15:19:03      25.3197             25.2886             25.4066             25.3551             
 2018-08-08_15:19:13      25.3209             25.2896             25.4071             25.3535             
 2018-08-08_15:19:23      25.3207             25.2914             25.4134             25.3619             
 2018-08-08_15:19:33      25.3238             25.2967             25.4113             25.3624             
 2018-08-08_15:19:43      25.3249             25.2954             25.4146             25.3618             
 2018-08-08_15:19:53      25.3258             25.2956             25.4133             25.3618             
 2018-08-08_15:20:03      25.327              25.3001             25.4188             25.3657             
 2018-08-08_15:20:13      25.3283             25.3028             25.4172             25.3655             
 2018-08-08_15:20:23      25.3316             25.3034             25.4203             25.3664             
 2018-08-08_15:20:33      25.3325             25.3037             25.4216             25.3675             
 2018-08-08_15:20:43      25.332              25.3015             25.4228             25.3685             
 2018-08-08_15:20:53      25.3335             25.3046             25.4213             25.3681             
 2018-08-08_15:21:03      25.334              25.3043             25.4235             25.3721             
 2018-08-08_15:21:13      25.3356             25.3061             25.4209             25.372              
 2018-08-08_15:21:23      25.3347             25.3067             25.4257             25.3741             
 2018-08-08_15:21:33      25.3376             25.3082             25.4254             25.3732             
 2018-08-08_15:21:43      25.3383             25.3081             25.4274             25.3746             
 2018-08-08_15:21:53      25.3382             25.3101             25.4274             25.3752             
 2018-08-08_15:22:03      25.3363             25.3125             25.429              25.3787             
 2018-08-08_15:22:13      25.3408             25.3113             25.4296             25.3766             
 2018-08-08_15:22:23      25.34               25.3123             25.4292             25.3778             
 2018-08-08_15:22:33      25.3434             25.3109             25.4317             25.3819             
 2018-08-08_15:22:43      25.3425             25.3129             25.4319             25.3787             
 2018-08-08_15:22:53      25.3423             25.3144             25.4328             25.3809             
 2018-08-08_15:23:03      25.3466             25.3155             25.4334             25.3835             
 2018-08-08_15:23:13      25.348              25.3176             25.436              25.3839             
 2018-08-08_15:23:23      25.3479             25.3179             25.4343             25.3836             
 2018-08-08_15:23:33      25.3484             25.3186             25.438              25.3848             
 2018-08-08_15:23:43      25.3508             25.3186             25.4401             25.3866             
 2018-08-08_15:23:53      25.351              25.3229             25.4409             25.3883             
 2018-08-08_15:24:03      25.3514             25.3237             25.4411             25.3866             
 2018-08-08_15:24:13      25.3521             25.3254             25.4434             25.3913             
 2018-08-08_15:24:23      25.3576             25.3269             25.4464             25.3942             
 2018-08-08_15:24:33      25.3551             25.3264             25.4463             25.3952             
 2018-08-08_15:24:43      25.3576             25.3281             25.4472             25.3954             
 2018-08-08_15:24:53      25.3608             25.3329             25.4498             25.3993             
 2018-08-08_15:25:03      25.3618             25.3349             25.4538             25.3991             
 2018-08-08_15:25:13      25.3634             25.3344             25.4555             25.4                
 2018-08-08_15:25:23      25.3674             25.337              25.4544             25.404              
 2018-08-08_15:25:33      25.3675             25.3387             25.4587             25.4048             
 2018-08-08_15:25:43      25.3696             25.3406             25.4589             25.4094             
 2018-08-08_15:25:53      25.3711             25.3444             25.4622             25.407              
 2018-08-08_15:26:03      25.3752             25.3461             25.4616             25.4119             
 2018-08-08_15:26:13      25.3761             25.3484             25.4646             25.4143             
 2018-08-08_15:26:23      25.3781             25.3502             25.471              25.4183             
 2018-08-08_15:26:33      25.3835             25.3527             25.4719             25.4201             
 2018-08-08_15:26:43      25.3852             25.3555             25.4722             25.4228             
 2018-08-08_15:26:53      25.3876             25.3579             25.4739             25.4248             
 2018-08-08_15:27:03      25.3898             25.3622             25.4776             25.4265             
 2018-08-08_15:27:13      25.3925             25.361              25.4797             25.4287             
 2018-08-08_15:27:23      25.3952             25.3656             25.484              25.4304             
 2018-08-08_15:27:33      25.3961             25.369              25.4806             25.4322             
 2018-08-08_15:27:43      25.3944             25.3675             25.4833             25.4333             
 2018-08-08_15:27:53      25.3991             25.3721             25.4883             25.4358             
 2018-08-08_15:28:03      25.4007             25.3732             25.4902             25.4383             
 2018-08-08_15:28:13      25.4042             25.3739             25.4898             25.4398             
 2018-08-08_15:28:23      25.4034             25.3736             25.4937             25.4407             
 2018-08-08_15:28:33      25.4083             25.3753             25.4948             25.4417             
 2018-08-08_15:28:43      25.4066             25.3774             25.4937             25.4429             
 2018-08-08_15:28:53      25.4102             25.3795             25.4961             25.4458             
 2018-08-08_15:29:03      25.4085             25.3793             25.4995             25.4453             
 2018-08-08_15:29:13      25.4126             25.3812             25.4966             25.4453             
 2018-08-08_15:29:23      25.4125             25.3824             25.503              25.4497             
 2018-08-08_15:29:33      25.4126             25.3857             25.5031             25.4502             
 2018-08-08_15:29:43      25.4165             25.3861             25.5032             25.4501             
 2018-08-08_15:29:53      25.4174             25.3877             25.5022             25.4527             
 2018-08-08_15:30:03      25.4196             25.3875             25.5057             25.455              
 2018-08-08_15:30:13      25.4187             25.3893             25.5074             25.4548             
 2018-08-08_15:30:23      25.4208             25.3903             25.5101             25.4565             
 2018-08-08_15:30:33      25.4234             25.3921             25.5122             25.4588             
 2018-08-08_15:30:43      25.4262             25.3929             25.5143             25.4599             
 2018-08-08_15:30:53      25.425              25.3956             25.5152             25.4599             
 2018-08-08_15:31:03      25.4288             25.3971             25.5166             25.4625             
 2018-08-08_15:31:13      25.4276             25.3972             25.5171             25.4624             
 2018-08-08_15:31:23      25.4288             25.4006             25.5206             25.4666             
 2018-08-08_15:31:33      25.4317             25.4021             25.5214             25.4685             
 2018-08-08_15:31:43      25.4337             25.4044             25.521              25.469              
 2018-08-08_15:31:53      25.435              25.4072             25.5251             25.4709             
 2018-08-08_15:32:03      25.437              25.4075             25.525              25.4737             
 2018-08-08_15:32:13      25.4398             25.4107             25.5301             25.4745             
 2018-08-08_15:32:23      25.4398             25.4135             25.5324             25.4772             
 2018-08-08_15:32:33      25.4409             25.4135             25.5319             25.4814             
 2018-08-08_15:32:43      25.4442             25.4144             25.5322             25.4822             
 2018-08-08_15:32:53      25.448              25.4164             25.537              25.483              
 2018-08-08_15:33:03      25.4494             25.42               25.5383             25.4868             
 2018-08-08_15:33:13      25.4506             25.4208             25.5414             25.4868             
 2018-08-08_15:33:23      25.4542             25.4237             25.5452             25.4897             
 2018-08-08_15:33:33      25.4583             25.4278             25.5441             25.4949             
 2018-08-08_15:33:43      25.4585             25.4301             25.5477             25.4968             
 2018-08-08_15:33:53      25.4598             25.4312             25.5497             25.4973             
 2018-08-08_15:34:03      25.4621             25.4346             25.5515             25.4988             
 2018-08-08_15:34:13      25.4662             25.4349             25.5544             25.5016             
 2018-08-08_15:34:23      25.471              25.4393             25.5597             25.506              
 2018-08-08_15:34:33      25.4726             25.4415             25.558              25.5079             
 2018-08-08_15:34:43      25.4747             25.4446             25.5621             25.5084             
 2018-08-08_15:34:53      25.4747             25.4471             25.5646             25.515              
 2018-08-08_15:35:03      25.4803             25.4481             25.5685             25.5155             
 2018-08-08_15:35:13      25.4815             25.4514             25.5712             25.5179             
 2018-08-08_15:35:23      25.482              25.4561             25.5719             25.5226             
 2018-08-08_15:35:33      25.4834             25.4569             25.5727             25.5224             
 2018-08-08_15:35:43      25.4904             25.46               25.5772             25.5264             
 2018-08-08_15:35:53      25.0268             25.463              24.5406             25.5274             
 2018-08-08_15:36:03      24.3886             25.3652             24.541              25.4147             
 2018-08-08_15:36:13      24.6928             25.2724             24.8287             25.3269             
 2018-08-08_15:36:23      24.9213             25.2543             25.0423             25.3172             
 2018-08-08_15:36:33      25.0825             25.2712             25.1926             25.3362             
 2018-08-08_15:36:43      25.1953             25.302              25.2999             25.3673             
 2018-08-08_15:36:53      25.2773             25.3367             25.3779             25.4024             
 2018-08-08_15:37:03      25.3387             25.3686             25.437              25.4323             
 2018-08-08_15:37:13      25.3883             25.3994             25.4831             25.4654             
 2018-08-08_15:37:23      25.4248             25.4244             25.5176             25.4915             
 2018-08-08_15:37:33      25.4548             25.4497             25.551              25.515              
 2018-08-08_15:37:43      25.481              25.469              25.5734             25.5352             
 2018-08-08_15:37:53      25.4983             25.4849             25.5942             25.5525             
 2018-08-08_15:38:03      25.5139             25.4971             25.6061             25.5636             
 2018-08-08_15:38:13      25.5301             25.5101             25.6197             25.5742             
 2018-08-08_15:38:23      25.5419             25.5185             25.6321             25.5844             
 2018-08-08_15:38:33      25.5452             25.5243             25.6396             25.5928             
 2018-08-08_15:38:43      25.5555             25.528              25.6466             25.5921             
 2018-08-08_15:38:53      25.5596             25.5352             25.6526             25.5973             
 2018-08-08_15:39:03      25.5663             25.5404             25.6582             25.6046             
 2018-08-08_15:39:13      25.5701             25.545              25.6613             25.6104             
 2018-08-08_15:39:23      25.5719             25.5469             25.6646             25.6118             
 2018-08-08_15:39:33      25.5781             25.5505             25.6679             25.6149             
 2018-08-08_15:39:43      25.5833             25.5553             25.6721             25.6186             
 2018-08-08_15:39:53      25.5834             25.558              25.6738             25.623              
 2018-08-08_15:40:03      25.5862             25.562              25.6783             25.6264             
 2018-08-08_15:40:13      25.5924             25.5618             25.6796             25.6292             
 2018-08-08_15:40:23      25.5942             25.5673             25.6844             25.632              
 2018-08-08_15:40:33      25.5963             25.5697             25.6883             25.6354             
 2018-08-08_15:40:43      25.6033             25.5725             25.6907             25.6392             
 2018-08-08_15:40:53      25.604              25.5762             25.6907             25.6406             
 2018-08-08_15:41:03      25.6067             25.5788             25.6967             25.6445             
 2018-08-08_15:41:13      25.6083             25.5824             25.6983             25.6476             
 2018-08-08_15:41:23      25.6105             25.5869             25.7015             25.6503             
 2018-08-08_15:41:33      25.6139             25.5894             25.7036             25.6533             
 2018-08-08_15:41:43      25.6158             25.592              25.7083             25.6559             
 2018-08-08_15:41:53      25.6189             25.5934             25.7065             25.659              
 2018-08-08_15:42:03      25.6209             25.592              25.71               25.6591             
 2018-08-08_15:42:13      25.6232             25.5988             25.7102             25.6627             
 2018-08-08_15:42:23      25.6248             25.5994             25.7154             25.664              
 2018-08-08_15:42:33      25.6273             25.598              25.7189             25.6647             
 2018-08-08_15:42:43      25.6301             25.6012             25.7167             25.6668             
 2018-08-08_15:42:53      25.6324             25.6043             25.7167             25.6698             
 2018-08-08_15:43:03      25.6337             25.6041             25.7213             25.6722             
 2018-08-08_15:43:13      25.6368             25.6062             25.7232             25.6705             
 2018-08-08_15:43:23      25.6348             25.6066             25.7236             25.674              
 2018-08-08_15:43:33      25.6356             25.606              25.7277             25.6748             
 2018-08-08_15:43:43      25.6368             25.6094             25.7245             25.6756             
 2018-08-08_15:43:53      25.6407             25.6106             25.728              25.6757             
 2018-08-08_15:44:03      25.6395             25.6113             25.7318             25.6752             
 2018-08-08_15:44:13      25.6413             25.614              25.7328             25.679              
 2018-08-08_15:44:23      25.6401             25.6145             25.7294             25.6806             
 2018-08-08_15:44:33      25.6456             25.6138             25.7333             25.6817             
 2018-08-08_15:44:43      25.6416             25.6205             25.7328             25.6834             
 2018-08-08_15:44:53      25.6445             25.618              25.7342             25.6822             
 2018-08-08_15:45:03      25.6506             25.6178             25.7348             25.6877             
 2018-08-08_15:45:13      25.6486             25.6218             25.7369             25.6885             
 2018-08-08_15:45:23      25.6494             25.6255             25.7381             25.6882             
 2018-08-08_15:45:33      25.6501             25.6229             25.7429             25.6913             
 2018-08-08_15:45:43      25.6522             25.6249             25.7404             25.6915             
 2018-08-08_15:45:53      25.6548             25.6282             25.7426             25.6949             
 2018-08-08_15:46:03      25.6545             25.6274             25.7477             25.6914             
 2018-08-08_15:46:13      25.6598             25.6304             25.748              25.6953             
 2018-08-08_15:46:23      25.6374             25.6038             25.7215             25.6651             
 2018-08-08_15:46:33      25.5847             25.547              25.6678             25.6056             
 2018-08-08_15:46:43      25.5174             25.4789             25.5972             25.5382             
 2018-08-08_15:46:53      25.4486             25.4045             25.5251             25.4675             
 2018-08-08_15:47:03      25.3797             25.3362             25.4553             25.398              
 2018-08-08_15:47:13      25.3124             25.2724             25.3899             25.3318             
 2018-08-08_15:47:23      25.2521             25.2118             25.3295             25.2693             
 2018-08-08_15:47:33      25.1923             25.1546             25.2687             25.213              
 2018-08-08_15:47:43      25.1375             25.098              25.2155             25.1599             
 2018-08-08_15:47:53      25.0817             25.0433             25.1581             25.1033             
 2018-08-08_15:48:03      25.0228             24.9883             25.1017             25.0463             
 2018-08-08_15:48:13      24.9648             24.927              25.0445             24.9866             
 2018-08-08_15:48:23      24.9024             24.8626             24.9803             24.9216             
 2018-08-08_15:48:33      24.8341             24.7983             24.9139             24.8517             
 2018-08-08_15:48:43      24.7666             24.7271             24.8443             24.7823             
 2018-08-08_15:48:53      24.6936             24.6534             24.7712             24.7074             
 2018-08-08_15:49:03      24.6156             24.5761             24.69               24.6306             
 2018-08-08_15:49:13      24.5326             24.4943             24.6088             24.5476             
 2018-08-08_15:49:23      24.4514             24.408              24.5247             24.461              
 2018-08-08_15:49:33      24.3644             24.3227             24.4385             24.3763             
 2018-08-08_15:49:43      24.2734             24.2321             24.3482             24.2867             
