 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
 2018-08-09_14:09:48      9.9e+37             25.9515             26.03               26.0101             
 2018-08-09_14:09:59      9.9e+37             25.9525             26.0309             26.0112             
 2018-08-09_14:10:10      9.9e+37             25.9548             26.0339             26.0142             
 2018-08-09_14:10:20      9.9e+37             25.9607             26.0368             26.0177             
 2018-08-09_14:10:31      9.9e+37             25.9601             26.0363             26.0178             
 2018-08-09_14:10:42      9.9e+37             25.9615             26.0412             26.0223             
 2018-08-09_14:10:52      9.9e+37             25.9635             26.0412             26.0201             
 2018-08-09_14:11:03      9.9e+37             25.9647             26.0449             26.0295             
 2018-08-09_14:11:13      9.9e+37             25.9727             26.0449             26.0281             
 2018-08-09_14:11:24      9.9e+37             25.9729             26.0514             26.0356             
 2018-08-09_14:11:35      9.9e+37             25.976              26.0563             26.0423             
 2018-08-09_14:11:45      9.9e+37             25.982              26.0603             26.0447             
 2018-08-09_14:11:56      9.9e+37             25.9931             26.0648             26.0516             
 2018-08-09_14:12:07      9.9e+37             25.9972             26.0711             26.0535             
 2018-08-09_14:12:17      9.9e+37             26.0025             26.0755             26.0596             
 2018-08-09_14:12:28      9.9e+37             26.0065             26.0816             26.0612             
 2018-08-09_14:12:39      9.9e+37             26.0076             26.0815             26.0647             
 2018-08-09_14:12:49      9.9e+37             26.0095             26.0829             26.07               
 2018-08-09_14:13:00      9.9e+37             26.014              26.0874             26.0702             
 2018-08-09_14:13:11      9.9e+37             26.015              26.0903             26.0729             
 2018-08-09_14:13:21      9.9e+37             26.0181             26.0943             26.0755             
 2018-08-09_14:13:32      9.9e+37             26.0178             26.0984             26.0773             
 2018-08-09_14:13:43      9.9e+37             26.0214             26.1003             26.08               
 2018-08-09_14:13:53      9.9e+37             26.0256             26.0998             26.0847             
 2018-08-09_14:14:04      9.9e+37             26.0262             26.1017             26.0876             
 2018-08-09_14:14:15      9.9e+37             26.0313             26.106              26.0897             
 2018-08-09_14:14:25      9.9e+37             26.0345             26.1083             26.0943             
 2018-08-09_14:14:36      9.9e+37             26.0375             26.1119             26.0955             
 2018-08-09_14:14:47      9.9e+37             26.0357             26.1135             26.0979             
 2018-08-09_14:14:57      9.9e+37             26.0392             26.1185             26.1007             
 2018-08-09_14:15:08      9.9e+37             26.0395             26.1197             26.1037             
 2018-08-09_14:15:19      9.9e+37             26.0466             26.1265             26.1088             
 2018-08-09_14:15:29      9.9e+37             26.0635             26.145              26.1251             
 2018-08-09_14:15:40      9.9e+37             26.0816             26.1634             26.1433             
 2018-08-09_14:15:51      9.9e+37             26.094              26.1776             26.1577             
