 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
=========================================================================================================
 2018-07-30_15:34:49      20.7686             20.718              20.858              20.8014             
 2018-07-30_15:34:59      20.7126             20.6647             20.8069             20.7489             
 2018-07-30_15:35:09      20.6679             20.6178             20.7559             20.7013             
 2018-07-30_15:35:19      20.6225             20.5757             20.717              20.662              
 2018-07-30_15:35:29      20.5836             20.5387             20.6785             20.6259             
 2018-07-30_15:35:39      20.549              20.5044             20.6457             20.5909             
 2018-07-30_15:35:49      20.5138             20.466              20.608              20.5522             
 2018-07-30_15:35:59      20.4759             20.4306             20.5693             20.5147             
 2018-07-30_15:36:09      20.4342             20.3906             20.531              20.4775             
 2018-07-30_15:36:19      20.401              20.3548             20.4961             20.4386             
 2018-07-30_15:36:29      20.3661             20.3235             20.4621             20.4057             
 2018-07-30_15:36:39      20.3393             20.2926             20.4341             20.3773             
 2018-07-30_15:36:49      20.3133             20.265              20.4084             20.3514             
 2018-07-30_15:36:59      20.2902             20.2427             20.386              20.3308             
 2018-07-30_15:37:09      20.2735             20.2286             20.3706             20.3171             
 2018-07-30_15:37:19      20.2605             20.2129             20.3537             20.3008             
 2018-07-30_15:37:29      20.2458             20.2016             20.3462             20.2897             
 2018-07-30_15:37:39      20.2381             20.1964             20.3363             20.282              
 2018-07-30_15:37:49      20.2331             20.1914             20.3309             20.2775             
 2018-07-30_15:37:59      20.2323             20.1868             20.329              20.2739             
 2018-07-30_15:38:09      20.2284             20.1861             20.3287             20.2736             
 2018-07-30_15:38:19      20.2252             20.1804             20.3232             20.2655             
 2018-07-30_15:38:29      20.2171             20.175              20.3153             20.2642             
 2018-07-30_15:38:39      20.213              20.1691             20.3097             20.2558             
 2018-07-30_15:38:49      20.209              20.1643             20.3078             20.2503             
 2018-07-30_15:38:59      20.2036             20.1568             20.3019             20.2474             
 2018-07-30_15:39:09      20.202              20.1603             20.3022             20.2443             
 2018-07-30_15:39:19      20.2042             20.1592             20.2985             20.2447             
 2018-07-30_15:39:29      20.2041             20.1577             20.3032             20.2447             
 2018-07-30_15:39:39      20.2057             20.1633             20.304              20.2483             
 2018-07-30_15:39:49      20.2114             20.1632             20.3061             20.2523             
 2018-07-30_15:39:59      20.2084             20.1633             20.3078             20.2508             
 2018-07-30_15:40:09      20.2066             20.1605             20.3059             20.2498             
 2018-07-30_15:40:19      20.2043             20.1571             20.3026             20.2463             
 2018-07-30_15:40:29      20.1998             20.1576             20.2999             20.2462             
 2018-07-30_15:40:39      20.2002             20.1543             20.3003             20.2413             
 2018-07-30_15:40:49      20.2014             20.1543             20.3021             20.243              
 2018-07-30_15:40:59      20.2026             20.1565             20.301              20.2445             
 2018-07-30_15:41:09      20.2085             20.1598             20.3064             20.2478             
 2018-07-30_15:41:19      20.2127             20.1675             20.3133             20.2539             
 2018-07-30_15:41:29      20.215              20.167              20.3131             20.2568             
