 TIME                     Farbe_links [C]     Farbe_rechts [C]    Tape_links [C]      Tape_rechts [C]     
 2018-07-30_15:41:39      20.2179             20.1698             20.3162             20.2583             
 2018-07-30_15:41:49      20.2144             20.1701             20.3118             20.2556             
 2018-07-30_15:41:59      20.2132             20.1683             20.3127             20.2586             
 2018-07-30_15:42:09      20.2151             20.1709             20.3127             20.2545             
 2018-07-30_15:42:19      20.2164             20.1684             20.3143             20.2564             
 2018-07-30_15:42:29      20.2219             20.1731             20.3178             20.2632             
 2018-07-30_15:42:39      20.2225             20.1787             20.3243             20.267              
 2018-07-30_15:42:49      20.2275             20.1817             20.331              20.2713             
 2018-07-30_15:42:59      20.2352             20.1912             20.3347             20.2778             
 2018-07-30_15:43:09      20.242              20.1957             20.3401             20.2808             
 2018-07-30_15:43:19      20.242              20.1978             20.3408             20.2811             
 2018-07-30_15:43:29      20.2415             20.1986             20.3425             20.2858             
 2018-07-30_15:43:39      20.2409             20.1972             20.3399             20.2811             
 2018-07-30_15:43:49      20.2412             20.1941             20.339              20.2821             
 2018-07-30_15:43:59      20.2408             20.1953             20.3412             20.2817             
 2018-07-30_15:44:09      20.2469             20.1977             20.344              20.2834             
 2018-07-30_15:44:19      20.2493             20.2024             20.348              20.2899             
 2018-07-30_15:44:29      20.2525             20.2085             20.3532             20.2973             
 2018-07-30_15:44:39      20.2604             20.2131             20.3591             20.2963             
 2018-07-30_15:44:49      20.2617             20.2149             20.3604             20.3013             
 2018-07-30_15:44:59      20.2648             20.2179             20.3598             20.3012             
 2018-07-30_15:45:09      20.2626             20.2159             20.3604             20.3011             
 2018-07-30_15:45:19      20.2644             20.2179             20.3627             20.304              
 2018-07-30_15:45:29      20.2697             20.2207             20.3684             20.307              
 2018-07-30_15:45:39      20.2738             20.2251             20.3683             20.3116             
 2018-07-30_15:45:49      20.2739             20.2303             20.3758             20.3131             
 2018-07-30_15:45:59      20.2826             20.2333             20.3794             20.3204             
 2018-07-30_15:46:09      20.2821             20.2345             20.3835             20.3236             
 2018-07-30_15:46:19      20.286              20.2374             20.3853             20.3222             
 2018-07-30_15:46:29      20.2862             20.2388             20.3829             20.3263             
 2018-07-30_15:46:39      20.2885             20.2407             20.3855             20.3273             
 2018-07-30_15:46:49      20.2892             20.2423             20.3885             20.3288             
 2018-07-30_15:46:59      20.2945             20.2497             20.3909             20.335              
 2018-07-30_15:47:09      20.2998             20.2512             20.3994             20.3424             
 2018-07-30_15:47:19      20.3087             20.2627             20.4077             20.3468             
 2018-07-30_15:47:29      20.315              20.2686             20.4114             20.357              
 2018-07-30_15:47:39      20.3216             20.2745             20.421              20.3618             
 2018-07-30_15:47:49      20.3213             20.2738             20.42               20.362              
 2018-07-30_15:47:59      20.326              20.2728             20.4226             20.3603             
 2018-07-30_15:48:09      20.3228             20.2762             20.4199             20.363              
 2018-07-30_15:48:19      20.3222             20.276              20.4231             20.3615             
 2018-07-30_15:48:29      20.3229             20.2819             20.4225             20.3626             
 2018-07-30_15:48:39      20.3287             20.2813             20.4297             20.3677             
 2018-07-30_15:48:49      20.3352             20.2875             20.4325             20.3711             
 2018-07-30_15:48:59      20.3415             20.2923             20.44               20.3785             
 2018-07-30_15:49:09      20.3456             20.2954             20.4449             20.3846             
 2018-07-30_15:49:19      20.3488             20.3005             20.4456             20.3855             
 2018-07-30_15:49:29      20.3491             20.3025             20.4464             20.3851             
 2018-07-30_15:49:39      20.3493             20.3008             20.4488             20.388              
 2018-07-30_15:49:49      20.3505             20.3035             20.4469             20.3884             
 2018-07-30_15:49:59      20.3513             20.3058             20.4498             20.3898             
 2018-07-30_15:50:09      20.3544             20.3093             20.4546             20.3942             
 2018-07-30_15:50:19      20.3613             20.3153             20.4574             20.4                
 2018-07-30_15:50:29      20.368              20.3194             20.4631             20.4057             
 2018-07-30_15:50:39      20.3717             20.3276             20.474              20.4141             
 2018-07-30_15:50:49      20.3804             20.3351             20.4811             20.4208             
 2018-07-30_15:50:59      20.3885             20.3385             20.4871             20.4242             
 2018-07-30_15:51:09      20.3897             20.3436             20.4891             20.4288             
 2018-07-30_15:51:19      20.3931             20.3426             20.4908             20.4304             
 2018-07-30_15:51:29      20.3903             20.3436             20.4898             20.4295             
 2018-07-30_15:51:39      20.3962             20.3468             20.4914             20.4292             
 2018-07-30_15:51:49      20.3982             20.3488             20.4956             20.4351             
 2018-07-30_15:51:59      20.4011             20.3576             20.4997             20.441              
 2018-07-30_15:52:09      20.4081             20.3625             20.5065             20.4488             
 2018-07-30_15:52:19      20.4129             20.3669             20.5133             20.4517             
 2018-07-30_15:52:29      20.4174             20.3712             20.5139             20.4534             
 2018-07-30_15:52:39      20.4178             20.3678             20.5155             20.4545             
 2018-07-30_15:52:49      20.4158             20.368              20.5123             20.4509             
 2018-07-30_15:52:59      20.414              20.3631             20.5136             20.4517             
 2018-07-30_15:53:09      20.4155             20.3677             20.5101             20.4497             
 2018-07-30_15:53:19      20.4163             20.3677             20.5135             20.4518             
 2018-07-30_15:53:29      20.4177             20.3719             20.5169             20.4579             
 2018-07-30_15:53:39      20.4236             20.3755             20.5209             20.4598             
 2018-07-30_15:53:49      20.4289             20.3809             20.5282             20.4682             
 2018-07-30_15:53:59      20.4366             20.3884             20.5329             20.4759             
 2018-07-30_15:54:09      20.4372             20.393              20.5361             20.4751             
 2018-07-30_15:54:19      20.4385             20.3903             20.5374             20.4783             
 2018-07-30_15:54:29      20.4356             20.3921             20.5336             20.4763             
 2018-07-30_15:54:39      20.4371             20.3889             20.5365             20.4734             
 2018-07-30_15:54:49      20.4354             20.3897             20.5322             20.4759             
 2018-07-30_15:54:59      20.4344             20.3903             20.5313             20.474              
 2018-07-30_15:55:09      20.4387             20.3913             20.5371             20.4751             
 2018-07-30_15:55:19      20.4408             20.3955             20.5399             20.4807             
 2018-07-30_15:55:29      20.4453             20.4008             20.5462             20.4852             
 2018-07-30_15:55:39      20.4473             20.4031             20.5474             20.4885             
 2018-07-30_15:55:49      20.4519             20.4039             20.5507             20.4886             
 2018-07-30_15:55:59      20.4498             20.4051             20.5497             20.4911             
 2018-07-30_15:56:09      20.4479             20.4003             20.5454             20.488              
 2018-07-30_15:56:19      20.4352             20.3925             20.5336             20.473              
 2018-07-30_15:56:29      20.4121             20.362              20.5095             20.4443             
 2018-07-30_15:56:39      20.3715             20.3186             20.4646             20.4025             
 2018-07-30_15:56:49      20.3173             20.2603             20.409              20.3407             
 2018-07-30_15:56:59      20.2486             20.1881             20.3384             20.2715             
 2018-07-30_15:57:09      20.1692             20.1085             20.2577             20.1836             
 2018-07-30_15:57:19      20.0825             20.0162             20.1672             20.0971             
 2018-07-30_15:57:29      19.9876             19.9232             20.0702             20.0001             
 2018-07-30_15:57:39      19.8847             19.8167             19.9675             19.895              
 2018-07-30_15:57:49      19.7754             19.7135             19.8602             19.7884             
 2018-07-30_15:57:59      19.6668             19.6036             19.7513             19.6777             
 2018-07-30_15:58:09      19.5534             19.4875             19.638              19.5648             
 2018-07-30_15:58:19      19.4405             19.3769             19.5236             19.4502             
 2018-07-30_15:58:29      19.3265             19.2605             19.4082             19.3337             
 2018-07-30_15:58:39      19.2064             19.1412             19.2896             19.2156             
 2018-07-30_15:58:49      19.0869             19.0216             19.1704             19.0948             
 2018-07-30_15:58:59      18.9705             18.9011             19.0547             18.9762             
 2018-07-30_15:59:09      18.8534             18.7821             18.9336             18.8556             
 2018-07-30_15:59:19      18.7328             18.6675             18.819              18.739              
 2018-07-30_15:59:29      18.6183             18.5558             18.7049             18.6275             
 2018-07-30_15:59:39      18.517              18.4496             18.6044             18.5244             
 2018-07-30_15:59:49      18.4238             18.36               18.512              18.4338             
 2018-07-30_15:59:59      18.3401             18.2771             18.4257             18.3532             
 2018-07-30_16:00:09      18.2625             18.2044             18.3496             18.2755             
 2018-07-30_16:00:19      18.189              18.1281             18.2778             18.2034             
 2018-07-30_16:00:29      18.1213             18.06               18.2084             18.1365             
 2018-07-30_16:00:39      18.0589             17.9998             18.1502             18.0751             
 2018-07-30_16:00:49      17.9993             17.9462             18.0963             18.0226             
 2018-07-30_16:00:59      17.9575             17.8952             18.0522             17.9734             
 2018-07-30_16:01:09      17.9174             17.86               18.0113             17.94               
 2018-07-30_16:01:19      17.8822             17.8255             17.9774             17.9043             
 2018-07-30_16:01:29      17.8515             17.7895             17.9463             17.8677             
 2018-07-30_16:01:39      17.8126             17.7556             17.9063             17.836              
 2018-07-30_16:01:49      17.7796             17.723              17.8761             17.8024             
 2018-07-30_16:01:59      17.7503             17.6969             17.843              17.774              
 2018-07-30_16:02:09      17.7236             17.6705             17.8221             17.7493             
 2018-07-30_16:02:19      17.7053             17.6492             17.8032             17.7332             
 2018-07-30_16:02:29      17.6895             17.6362             17.7899             17.7175             
 2018-07-30_16:02:39      17.6787             17.6279             17.7788             17.7068             
 2018-07-30_16:02:49      17.6743             17.621              17.7761             17.6982             
 2018-07-30_16:02:59      17.668              17.6166             17.766              17.6935             
 2018-07-30_16:03:09      17.6604             17.6074             17.7573             17.6885             
 2018-07-30_16:03:19      17.6526             17.5979             17.7492             17.6764             
 2018-07-30_16:03:29      17.6436             17.5923             17.7421             17.6708             
 2018-07-30_16:03:39      17.6357             17.5876             17.7361             17.6658             
 2018-07-30_16:03:49      17.6333             17.581              17.732              17.6621             
 2018-07-30_16:03:59      17.6636             17.6189             17.7726             17.7021             
 2018-07-30_16:04:09      17.6912             17.643              17.7989             17.7218             
 2018-07-30_16:04:19      17.7031             17.6522             17.8069             17.7325             
 2018-07-30_16:04:29      17.7063             17.6525             17.8049             17.7318             
 2018-07-30_16:04:39      17.7052             17.6523             17.8077             17.728              
 2018-07-30_16:04:49      17.702              17.652              17.807              17.7275             
 2018-07-30_16:04:59      17.7045             17.6485             17.8069             17.7291             
 2018-07-30_16:05:09      17.707              17.6562             17.8085             17.7315             
 2018-07-30_16:05:19      17.7066             17.6596             17.8118             17.74               
 2018-07-30_16:05:29      17.7148             17.6612             17.8196             17.7395             
 2018-07-30_16:05:39      17.7102             17.6603             17.8151             17.739              
 2018-07-30_16:05:49      17.7109             17.6566             17.8118             17.7332             
 2018-07-30_16:05:59      17.7025             17.6475             17.8067             17.7279             
 2018-07-30_16:06:09      17.6989             17.6479             17.8017             17.7235             
 2018-07-30_16:06:19      17.6988             17.6448             17.8019             17.7246             
 2018-07-30_16:06:29      17.6975             17.6424             17.798              17.7237             
 2018-07-30_16:06:39      17.7002             17.6456             17.8029             17.7249             
 2018-07-30_16:06:49      17.6783             17.6142             17.7704             17.6873             
 2018-07-30_16:06:59      17.6294             17.5618             17.7249             17.6389             
 2018-07-30_16:07:09      17.5914             17.5212             17.6857             17.5962             
 2018-07-30_16:07:19      17.5539             17.4838             17.6519             17.5612             
 2018-07-30_16:07:29      17.523              17.4544             17.6208             17.5291             
 2018-07-30_16:07:39      16.9768             17.4263             16.7926             17.4991             
 2018-07-30_16:07:49      15.5957             16.0488             15.455              15.9392             
 2018-07-30_16:07:59      14.3964             14.6158             14.2954             14.5383             
 2018-07-30_16:08:09      13.3652             13.4609             13.2982             13.4097             
 2018-07-30_16:08:19      12.4988             12.5332             12.4586             12.497              
 2018-07-30_16:08:29      11.7702             11.7748             11.7547             11.7562             
 2018-07-30_16:08:39      11.1613             11.149              11.1576             11.1378             
 2018-07-30_16:08:49      10.6466             10.6309             10.6639             10.6324             
 2018-07-30_16:08:59      10.2134             10.2078             10.2401             10.2106             
 2018-07-30_16:09:09      9.8497              9.851               9.8953              9.8608              
 2018-07-30_16:09:19      9.5447              9.549               9.5943              9.5664              
 2018-07-30_16:09:29      9.2922              9.3011              9.3489              9.3238              
 2018-07-30_16:09:39      9.0709              9.0809              9.133               9.1038              
 2018-07-30_16:09:49      8.8798              8.8885              8.9475              8.9197              
 2018-07-30_16:09:59      8.7143              8.7294              8.7857              8.7574              
 2018-07-30_16:10:09      8.5662              8.5908              8.6467              8.6206              
 2018-07-30_16:10:19      8.4488              8.472               8.528               8.505               
 2018-07-30_16:10:29      8.35                8.3739              8.4277              8.4034              
 2018-07-30_16:10:39      8.2603              8.2917              8.3475              8.3233              
 2018-07-30_16:10:49      8.19                8.2213              8.2756              8.2487              
 2018-07-30_16:10:59      8.1317              8.1587              8.2211              8.194               
 2018-07-30_16:11:09      8.0833              8.1172              8.1767              8.1535              
 2018-07-30_16:11:19      8.0368              8.0723              8.1338              8.1089              
 2018-07-30_16:11:29      7.9976              8.0343              8.0922              8.0663              
 2018-07-30_16:11:39      7.9614              7.9936              8.056               8.0307              
 2018-07-30_16:11:49      7.9266              7.9615              8.0257              7.9986              
 2018-07-30_16:11:59      7.9062              7.9342              7.9986              7.9716              
 2018-07-30_16:12:09      7.8803              7.9177              7.9819              7.9569              
 2018-07-30_16:12:19      7.8669              7.8984              7.9675              7.9436              
 2018-07-30_16:12:29      7.8517              7.8786              7.9511              7.9214              
 2018-07-30_16:12:39      7.8387              7.8646              7.9348              7.906               
 2018-07-30_16:12:49      7.8218              7.8481              7.9194              7.8885              
 2018-07-30_16:12:59      7.8081              7.833               7.9066              7.8716              
 2018-07-30_16:13:09      7.7962              7.8226              7.8958              7.8618              
 2018-07-30_16:13:19      7.7912              7.819               7.8877              7.8524              
 2018-07-30_16:13:29      7.7812              7.8154              7.8822              7.8544              
 2018-07-30_16:13:39      8.9574              9.0657              9.3358              9.2813              
 2018-07-30_16:13:49      10.3324             10.443              10.6625             10.6333             
 2018-07-30_16:13:59      11.4929             11.5934             11.787              11.7602             
 2018-07-30_16:14:09      12.4527             12.5403             12.7115             12.6892             
 2018-07-30_16:14:19      13.2468             13.3166             13.4276             13.442              
 2018-07-30_16:14:29      11.4875             11.3965             11.1602             11.1847             
 2018-07-30_16:14:39      9.4439              9.3101              9.1987              9.142               
 2018-07-30_16:14:49      7.7405              7.6006              7.5687              7.475               
 2018-07-30_16:14:59      6.3644              6.2492              6.2437              6.1533              
 2018-07-30_16:15:09      5.2536              5.1705              5.1696              5.1007              
 2018-07-30_16:15:19      4.3559              4.3046              4.3064              4.2515              
 2018-07-30_16:15:29      3.6225              3.6011              3.5969              3.5559              
 2018-07-30_16:15:39      3.016               3.0095              3.0139              2.982               
 2018-07-30_16:15:49      2.5145              2.5196              2.5331              2.5026              
 2018-07-30_16:15:59      2.1076              2.1306              2.1363              2.1117              
 2018-07-30_16:16:09      1.7635              1.8073              1.8135              1.7899              
 2018-07-30_16:16:19      1.4838              1.5412              1.5422              1.5297              
 2018-07-30_16:16:29      1.2511              1.307               1.3128              1.299               
 2018-07-30_16:16:39      1.0509              1.1261              1.1217              1.1149              
 2018-07-30_16:16:49      0.8829              0.96                0.9577              0.9492              
 2018-07-30_16:16:59      0.734               0.813               0.8163              0.8123              
 2018-07-30_16:17:09      0.6186              0.6891              0.6936              0.6927              
 2018-07-30_16:17:19      0.5156              0.5796              0.5929              0.5877              
 2018-07-30_16:17:29      0.4285              0.5071              0.5153              0.5069              
 2018-07-30_16:17:39      0.3589              0.4366              0.4401              0.4372              
 2018-07-30_16:17:49      0.2984              0.378               0.388               0.3847              
 2018-07-30_16:17:59      0.2431              0.3236              0.3324              0.3308              
 2018-07-30_16:18:09      0.2044              0.2874              0.2958              0.2908              
 2018-07-30_16:18:19      0.1621              0.2414              0.2492              0.2474              
 2018-07-30_16:18:29      0.1248              0.2096              0.2128              0.2173              
 2018-07-30_16:18:39      0.0901              0.1798              0.1815              0.1847              
 2018-07-30_16:18:49      0.0659              0.1667              0.164               0.1685              
 2018-07-30_16:18:59      0.0517              0.1414              0.1439              0.1494              
 2018-07-30_16:19:09      0.031               0.1157              0.1238              0.1224              
 2018-07-30_16:19:19      0.0038              0.1139              0.1028              0.1131              
 2018-07-30_16:19:29      -0.0069             0.0832              0.0887              0.0929              
 2018-07-30_16:19:39      -0.0252             0.0646              0.0755              0.0772              
 2018-07-30_16:19:49      -0.0385             0.0503              0.0639              0.0628              
 2018-07-30_16:19:59      -0.0443             0.0299              0.0518              0.0418              
 2018-07-30_16:20:09      -0.0477             0.0267              0.0454              0.0359              
 2018-07-30_16:20:19      -0.0519             0.0345              0.0431              0.0343              
 2018-07-30_16:20:29      -0.0595             0.015               0.0341              0.0288              
 2018-07-30_16:20:39      -0.0698             0.0122              0.0241              0.0165              
 2018-07-30_16:20:49      -0.0771             0.0044              0.0152              0.0103              
 2018-07-30_16:20:59      -0.0904             0.0081              0.0088              0.011               
 2018-07-30_16:21:09      -0.0916             -0.0069             0.0055              0.0015              
 2018-07-30_16:21:19      -0.0916             -0.0111             0.0091              0.0016              
 2018-07-30_16:21:29      -0.09               -0.0061             0.0127              0.0007              
 2018-07-30_16:21:39      -0.0889             0.0005              0.016               0.0115              
 2018-07-30_16:21:49      -0.0832             0.0067              0.0192              0.0161              
 2018-07-30_16:21:59      -0.0759             0.0103              0.0202              0.013               
 2018-07-30_16:22:09      -0.0782             0.0083              0.0214              0.0168              
 2018-07-30_16:22:19      -0.0771             0.0117              0.019               0.0197              
 2018-07-30_16:22:29      -0.0797             0.0078              0.0206              0.0164              
 2018-07-30_16:22:39      -0.0748             0.0224              0.0276              0.0253              
 2018-07-30_16:22:49      -0.5356             0.0242              -0.6752             0.0333              
 2018-07-30_16:22:59      -1.5789             -0.0519             -1.6579             -0.087              
 2018-07-30_16:23:09      -2.3479             -1.2344             -2.3884             -1.4015             
 2018-07-30_16:23:19      -3.022              -2.3758             -3.0441             -2.4906             
 2018-07-30_16:23:29      -3.627              -3.2242             -3.6266             -3.3203             
 2018-07-30_16:23:39      -4.1344             -3.8681             -4.1122             -3.9375             
 2018-07-30_16:23:49      -4.5509             -4.3556             -4.5135             -4.4132             
 2018-07-30_16:23:59      -4.8904             -4.7413             -4.847              -4.7874             
 2018-07-30_16:24:09      -5.1727             -5.0312             -5.1231             -5.072              
 2018-07-30_16:24:19      -5.4077             -5.2834             -5.3436             -5.3143             
 2018-07-30_16:24:29      -5.5984             -5.4909             -5.5363             -5.5153             
 2018-07-30_16:24:39      -5.759              -5.6496             -5.6931             -5.6816             
 2018-07-30_16:24:49      -5.8914             -5.7785             -5.8159             -5.8075             
 2018-07-30_16:24:59      -6.0036             -5.8914             -5.9265             -5.9124             
 2018-07-30_16:25:09      -6.0867             -5.9868             -6.0112             -6.0013             
 2018-07-30_16:25:19      -6.168              -6.0654             -6.0852             -6.0852             
 2018-07-30_16:25:29      -6.2408             -6.1279             -6.1481             -6.1485             
 2018-07-30_16:25:39      -6.3015             -6.1798             -6.2054             -6.1981             
 2018-07-30_16:25:49      -6.3499             -6.2233             -6.2531             -6.2378             
 2018-07-30_16:25:59      -6.3927             -6.2561             -6.2881             -6.282              
 2018-07-30_16:26:09      -6.4194             -6.2874             -6.3221             -6.3011             
 2018-07-30_16:26:19      -6.4438             -6.3053             -6.3438             -6.3278             
 2018-07-30_16:26:29      -6.4568             -6.3305             -6.3599             -6.3473             
 2018-07-30_16:26:39      -6.4716             -6.3469             -6.3778             -6.3633             
 2018-07-30_16:26:49      -6.4865             -6.3705             -6.385              -6.3705             
 2018-07-30_16:26:59      -6.5048             -6.3808             -6.4018             -6.3938             
 2018-07-30_16:27:09      -6.5075             -6.3976             -6.4106             -6.4056             
 2018-07-30_16:27:19      -6.5216             -6.3995             -6.4156             -6.4178             
 2018-07-30_16:27:29      -6.5262             -6.4171             -6.4232             -6.4262             
 2018-07-30_16:27:39      -6.5308             -6.414              -6.4342             -6.4308             
 2018-07-30_16:27:49      -6.5346             -6.4289             -6.4396             -6.4415             
 2018-07-30_16:27:59      -6.5437             -6.4369             -6.4453             -6.4472             
 2018-07-30_16:28:09      -6.5453             -6.4388             -6.4495             -6.4407             
 2018-07-30_16:28:19      -6.5479             -6.4243             -6.4529             -6.4434             
 2018-07-30_16:28:29      -6.5464             -6.4316             -6.4529             -6.4438             
 2018-07-30_16:28:39      -6.5437             -6.427              -6.4476             -6.44               
 2018-07-30_16:28:49      -6.5441             -6.4178             -6.4419             -6.4308             
 2018-07-30_16:28:59      -6.546              -6.4255             -6.4476             -6.432              
 2018-07-30_16:29:09      -6.5468             -6.4171             -6.4529             -6.4373             
 2018-07-30_16:29:19      -6.5506             -6.4075             -6.448              -6.4354             
 2018-07-30_16:29:29      -6.5483             -6.4072             -6.4461             -6.4316             
 2018-07-30_16:29:39      -6.5479             -6.4228             -6.4491             -6.4369             
 2018-07-30_16:29:49      -6.5384             -6.4232             -6.4426             -6.4388             
 2018-07-30_16:29:59      -6.5468             -6.4262             -6.4415             -6.4438             
 2018-07-30_16:30:09      -6.6441             -6.4301             -6.8813             -6.4461             
 2018-07-30_16:30:19      -7.7309             -6.4972             -7.79               -6.5289             
 2018-07-30_16:30:29      -8.3687             -7.4284             -8.3878             -7.5905             
 2018-07-30_16:30:39      -8.9123             -8.3633             -8.926              -8.493              
 2018-07-30_16:30:49      -9.3998             -9.0523             -9.3925             -9.1488             
 2018-07-30_16:30:59      -9.7954             -9.5577             -9.7717             -9.6375             
 2018-07-30_16:31:09      -10.1154            -9.9617             -10.0807            -10.0239            
 2018-07-30_16:31:19      -10.3806            -10.2535            -10.3291            -10.3073            
 2018-07-30_16:31:29      -10.5946            -10.4816            -10.5282            -10.5324            
 2018-07-30_16:31:39      -10.7628            -10.6499            -10.6934            -10.7033            
 2018-07-30_16:31:49      -10.8959            -10.7849            -10.8246            -10.8273            
 2018-07-30_16:31:59      -11.0088            -10.8997            -10.9253            -10.9344            
 2018-07-30_16:32:09      -11.0916            -10.9726            -11.0016            -11.0062            
 2018-07-30_16:32:19      -11.161             -11.0451            -11.0577            -11.0825            
 2018-07-30_16:32:29      -11.2038            -11.1               -11.116             -11.132             
 2018-07-30_16:32:39      -11.253             -11.1427            -11.1671            -11.1755            
 2018-07-30_16:32:49      -11.2923            -11.1755            -11.2057            -11.2076            
 2018-07-30_16:32:59      -11.3277            -11.2               -11.2366            -11.2431            
 2018-07-30_16:33:09      -11.3605            -11.2385            -11.2625            -11.2724            
 2018-07-30_16:33:19      -11.3766            -11.2541            -11.2831            -11.2923            
 2018-07-30_16:33:29      -11.4044            -11.2797            -11.3098            -11.3148            
 2018-07-30_16:33:39      -11.4204            -11.3045            -11.3197            -11.3358            
 2018-07-30_16:33:49      -11.4357            -11.2949            -11.3335            -11.3392            
 2018-07-30_16:33:59      -11.4445            -11.3182            -11.3464            -11.3434            
 2018-07-30_16:34:09      -11.4449            -11.3117            -11.3495            -11.3434            
 2018-07-30_16:34:19      -11.4517            -11.3022            -11.3468            -11.3472            
 2018-07-30_16:34:29      -11.4471            -11.3274            -11.3556            -11.356             
 2018-07-30_16:34:39      -11.4494            -11.3449            -11.3644            -11.3739            
 2018-07-30_16:34:49      -11.4716            -11.3525            -11.3747            -11.38              
 2018-07-30_16:34:59      -11.48              -11.3686            -11.3712            -11.3914            
 2018-07-30_16:35:09      -11.4807            -11.3605            -11.3716            -11.3911            
 2018-07-30_16:35:19      -11.4792            -11.3602            -11.3705            -11.3861            
 2018-07-30_16:35:29      -11.4681            -11.367             -11.3728            -11.3823            
 2018-07-30_16:35:39      -11.4708            -11.3434            -11.3735            -11.3815            
 2018-07-30_16:35:49      -11.4708            -11.3541            -11.3777            -11.3789            
 2018-07-30_16:35:59      -11.4689            -11.3525            -11.3705            -11.3831            
 2018-07-30_16:36:09      -11.4738            -11.3605            -11.3682            -11.3792            
 2018-07-30_16:36:19      -11.4689            -11.3441            -11.3579            -11.38              
 2018-07-30_16:36:29      -11.6325            -11.3407            -11.7058            -11.3678            
 2018-07-30_16:36:39      -12.4439            -11.9934            -12.4973            -12.1407            
 2018-07-30_16:36:49      -13.0959            -12.7953            -13.1145            -12.9097            
 2018-07-30_16:36:59      -13.6158            -13.398             -13.6063            -13.4933            
 2018-07-30_16:37:09      -14.0186            -13.8451            -13.9771            -13.9194            
 2018-07-30_16:37:19      -14.3196            -14.1777            -14.2677            -14.2349            
 2018-07-30_16:37:29      -14.5557            -14.4196            -14.4886            -14.4783            
 2018-07-30_16:37:39      -14.7366            -14.5836            -14.661             -14.6492            
 2018-07-30_16:37:49      -14.8617            -14.7224            -14.7907            -14.7724            
 2018-07-30_16:37:59      -14.9803            -14.8224            -14.8956            -14.8724            
 2018-07-30_16:38:09      -15.065             -14.9113            -14.9792            -14.9605            
 2018-07-30_16:38:19      -15.1299            -14.9811            -15.0387            -15.0219            
 2018-07-30_16:38:29      -15.1825            -15.0276            -15.0791            -15.0715            
 2018-07-30_16:38:39      -15.2229            -15.07              -15.126             -15.1062            
 2018-07-30_16:38:49      -15.2573            -15.1058            -15.1497            -15.1363            
 2018-07-30_16:38:59      -15.2912            -15.1291            -15.184             -15.1711            
 2018-07-30_16:39:09      -15.3145            -15.1398            -15.2008            -15.1833            
 2018-07-30_16:39:19      -15.3301            -15.1726            -15.2267            -15.2119            
 2018-07-30_16:39:29      -15.3404            -15.1825            -15.2473            -15.2145            
