#Time T_Paint_left T_Paint_right T_Tape_left T_Tape_right P_Paint_left P_Paint_right P_Tape_left P_Tape_right
#time Celsius Celsius Celsius Celsius Watt_per_sq_metre Watt_per_sq_metre Watt_per_sq_metre Watt_per_sq_metre

1542 12.52 12.30 12.84 12.48 97.04 96.58 97.59 96.90
1556 2.79 2.40 3.38 2.77 80.55 80.02 81.63 80.60
1607 -4.37 -4.85 -3.34 -4.30 69.62 68.82 70.97 69.72
1619 -9.97 -10.61 -8.66 -9.85 61.67 60.88 63.41 61.95
1633 -12.51 -13.20 -11.11 -12.35 58.35 57.46 60.16 58.63
1648 -14.61 -15.23 -13.12 -14.28 55.71 55.02 57.72 56.21
1657 -16.54 -17.14 -14.98 -16.14 53.24 52.56 55.27 53.77
1713 -18.06 -18.77 -16.37 -17.75 51.40 50.59 53.47 51.80
1724 -19.53 -20.21 -17.76 -19.09 49.76 49.00 51.94 50.37
1732 -20.54 -21.22 -18.70 -19.91 48.53 47.67 51.01 49.09
