#time TL TR PL PR
1619 11.29 11.17 10.90 11.04
1637 -10.13 -10.60 -11.70 -10.87
1643 -14.61 -15.21 -16.63 -15.70
1650 -18.28 -19.06 -20.64 -19.54
1655 -20.94 -21.79 -23.60 -22.64
1701 -23.17 -23.61 -25.78 -25.24
1709 -24.09 -24.83 -27.03 -27.13
1725 -24.96 -25.50 -27.78 -28.65
1822 -28.92 -29.46 -31.96 -32.38
