#ID T_min
L1 22.07
L2 22.39
L3 21.55
L4 21.56
L5 20.43
L6 20.62
L7 20.43
L8 20.23
L9 20.38
L10 20.10
L11 20.26
L12 20.01
L13 19.81
L14 19.54
L15 19.49
L16 19.41
L17 19.22
L18 18.95
L19 19.17
L20 19.15
L21 19.01
L22 18.94
L23 19.00
L24 19.18
L25 18.87
L26 18.78
L27 18.91
L28 18.84
L29 19.03
L30 19.31
L31 19.34
L32 19.57
L33 19.37
L34 19.04
L35 19.05
L36 19.05
L37 19.01
L38 19.16
L39 19.44
L40 20.07
L41 19.74
L42 19.48
L43 19.86
L44 18.89
L45 18.87
L46 18.89
L47 18.99
L48 18.93
L49 19.23
L50 19.22
L51 19.11
L52 19.20
L53 20.08
L54 19.95
L55 19.85
L56 19.85
L57 22.46
L58 21.84
L59 21.76
L60 21.15
L61 21.19
L62 21.18
L63 21.31
L64 21.84
L65 19.60
L66 20.14
L67 22.69
L68 23.56
L69 20.08
L70 19.12
L71 21.52
L72 21.82
L73 22.80
L74 21.22
L75 19.34
L76 19.18
L77 19.12
L78 19.63
L79 19.10
L80 19.21

