#ID T_min
L1 21.63
L2 21.60
L3 21.37
L4 21.37
L5 21.10
L6 20.96
L7 20.96
L8 20.66
L9 20.41
L10 20.27
L11 20.20
L12 19.87
L13 19.85
L14 19.81
L15 19.66
L16 19.75
L17 19.67
L18 20.52
L19 20.06
L20 19.50
L21 19.79
L22 18.94
L23 18.79
L24 18.86
L25 18.83
L30 18.89
L26 19.50
L27 19.60
L28 19.13
L29 19.06
L31 19.30
L33 19.89
L34 19.84
L35 19.82
L36 20.17
L32 20.71
L37 20.43
L38 20.41
L39 20.89
L41 20.96
L42 20.48
L43 20.91
L40 19.01
L44 19.07
L45 19.77
L46 21.66
L47 20.22
L48 20.49
L49 20.17
L50 18.69
L51 18.86
L52 18.78
L53 18.88
L54 18.90
L55 18.92
L56 18.96
L57 18.85
L58 19.11
L59 19.34
L60 18.94
L61 18.78
L62 18.84
L63 18.74
L64 18.71
L65 18.64
L66 18.60
L67 18.60
L68 19.24
L69 19.23
L70 19.18
L71 19.25
L72 19.43
L73 19.96
L74 19.48
L75 19.46
L76 19.49
L77 19.23
L78 20.43
L79 19.16
L80 19.10
L81 19.03
L82 19.06
L83 19.36
L84 19.10
L85 21.37
L86 23.06
L87 23.11

