#ID T_min
L1 17.93
L2 17.80
L3 17.48
L4 17.23
L5 16.75
L6 16.58
L7 16.52
L8 15.83
L9 15.54
L10 15.20
L11 14.96
L12 14.55
L13 14.18
L14 14.13
L15 14.04
L16 14.00
L17 14.12
L18 17.43
L19 16.30
L20 15.50
L21 15.98
L22 12.75
L23 12.66
L24 12.64
L25 12.60
L30 12.88
L26 14.20
L27 14.52
L28 13.37
L29 12.98
L31 13.77
L33 14.80
L34 14.88
L35 14.66
L36 15.19
L32 16.61
L37 15.98
L38 15.94
L39 17.18
L41 17.27
L42 16.53
L43 16.83
L40 13.70
L44 14.48
L45 16.51
L46 20.40
L47 17.23
L48 18.94
L49 16.65
L50 12.76
L51 12.85
L52 13.00
L53 13.01
L54 13.18
L55 12.54
L56 12.91
L57 12.40
L58 12.91
L59 13.51
L60 12.84
L61 12.67
L62 12.78
L63 12.40
L64 12.50
L65 12.60
L66 12.53
L67 12.23
L68 13.47
L69 13.51
L70 13.40
L71 13.81
L72 14.53
L73 15.77
L74 14.12
L75 14.21
L76 13.99
L77 13.90
L78 15.25
L79 13.59
L80 13.59
L81 13.84
L82 14.76
L83 14.25
L84 14.02
L85 18.62
L86 23.32
L87 23.80

