#ID T_min
L1 15.63
L2 18.11
L3 14.25
L4 14.01
L5 5.33 
L6 5.11 
L7 4.41 
L8 3.85 
L9 3.06 
L10 1.63 
L11 2.80 
L12 1.15 
L13 -0.44
L14 -1.01
L15 -1.58
L16 -1.58
L17 -2.92
L18 -3.37
L19 -3.69
L20 -3.76
L21 -4.51
L22 -4.98
L23 -4.96
L24 -3.94
L25 -3.90
L26 -4.62
L27 -3.13
L28 -3.61
L29 -3.42
L30 -1.77
L31 -1.82
L32 -0.77
L33 -1.74
L34 -3.42
L35 -3.56
L36 -3.51
L37 -4.10
L38 -3.48
L39 -0.66
L40 1.50 
L41 2.21 
L42 0.29 
L43 4.47 
L44 -2.62
L45 -3.95
L46 -3.85
L47 -4.37
L48 -3.99
L49 -2.69
L50 -2.85
L51 -2.69
L52 -2.37
L53 3.04 
L54 2.29 
L55 2.20 
L56 3.59 
L57 15.25
L58 11.21
L59 11.07
L60 7.99 
L61 9.51 
L62 8.99 
L63 8.95 
L64 10.91
L65 0.59 
L66 1.80 
L67 17.53
L68 21.13
L69 5.69 
L70 -0.48
L71 10.71
L72 15.54
L73 18.90
L74 12.44
L75 -1.48
L76 -3.32
L77 -2.06
L78 0.73 
L79 -2.68
L80 -2.36

