#ID T_min
L1 13.65
L2 13.59
L3 13.73
L4 13.68
L5 14.07
L6 14.01
L7 13.70
L8 13.90
L9 13.97
L10 13.88
L11 13.91
L12 13.71
L13 14.36
L14 13.45
L15 13.70
L16 14.18
L17 13.74
L18 13.58
L19 13.58
L20 13.49
L21 13.65
L22 13.96
L23 13.10
L24 12.59
L25 13.17
L26 13.14
L27 13.20
L28 13.23
L29 14.32
L30 13.99
L31 13.71
L32 12.94
L33 12.71
L34 13.05
L35 13.52
L36 12.65
L37 12.87
L38 13.50
L39 12.42
L40 12.39
L41 13.92
L42 13.54
L43 13.20
L44 13.16
L45 13.35
L46 13.65
L47 13.90
L48 13.58
L49 13.32
L50 13.27

