#ID T_min
L1 14.45
L2 17.05
L3 12.64
L4 12.21
L5 2.43 
L6 2.61 
L7 1.78 
L8 0.97 
L9 0.22 
L10 -1.31
L11 -0.40
L12 -1.76
L13 -3.52
L14 -4.02
L15 -4.75
L16 -5.15
L17 -6.21
L18 -6.73
L19 -7.22
L20 -7.26
L21 -8.21
L22 -8.54
L23 -8.38
L24 -7.27
L25 -7.49
L26 -7.90
L27 -6.74
L28 -7.14
L29 -6.70
L30 -5.41
L31 -5.62
L32 -3.84
L33 -5.15
L34 -6.68
L35 -6.97
L36 -7.08
L37 -7.50
L38 -6.76
L39 -4.19
L40 -1.24
L41 -0.72
L42 -2.84
L43 2.60 
L44 -6.22
L45 -7.02
L46 -7.30
L47 -7.82
L48 -7.47
L49 -6.00
L50 -6.04
L51 -6.21
L52 -5.94
L53 0.25 
L54 -0.63
L55 -0.84
L56 0.93 
L57 13.37
L58 9.38 
L59 8.99 
L60 5.74 
L61 7.60 
L62 6.84 
L63 6.60 
L64 9.31 
L65 -2.30
L66 -1.02
L67 15.88
L68 20.24
L69 2.50 
L70 -3.47
L71 9.32 
L72 14.62
L73 17.74
L74 10.51
L75 -4.89
L76 -6.76
L77 -5.94
L78 -2.46
L79 -5.90
L80 -5.08

