#ID T_min
L1 -1.78
L2 -2.30
L3 -1.97
L4 -1.63
L5 -0.94
L6 -0.98
L7 -1.41
L8 -0.99
L9 -1.31
L10 -1.32
L11 -1.32
L12 -1.59
L13 -0.07
L14 -1.56
L15 -1.69
L16 -0.48
L17 -1.87
L18 -1.74
L19 -2.18
L20 -1.88
L21 -1.80
L22 -0.71
L23 -2.50
L24 -3.62
L25 -2.73
L26 -2.78
L27 -2.90
L28 -2.64
L29 -0.11
L30 -0.59
L31 -1.44
L32 -3.54
L33 -3.44
L34 -3.50
L35 -2.64
L36 -3.91
L37 -3.13
L38 -1.67
L39 -4.37
L40 -4.47
L41 -1.28
L42 -2.40
L43 -3.00
L44 -2.78
L45 -2.67
L46 -2.03
L47 -1.39
L48 -2.64
L49 -3.20
L50 -2.62

