#ID T_min
L1 19.47
L2 19.41
L3 19.50
L4 19.49
L5 19.83
L6 19.83
L7 19.77
L8 19.78
L9 19.63
L10 19.72
L11 19.68
L12 19.64
L13 19.97
L14 19.60
L15 19.52
L16 19.80
L17 19.48
L18 19.45
L19 19.37
L20 19.34
L21 19.47
L22 19.14
L23 18.75
L24 18.65
L25 18.68
L26 19.07
L27 18.85
L28 18.99
L29 19.28
L30 19.15
L31 19.23
L32 18.87
L33 18.88
L34 18.99
L35 19.22
L36 18.89
L37 19.04
L38 19.00
L39 18.72
L40 18.67
L41 18.94
L42 18.92
L43 18.78
L44 18.87
L45 18.91
L46 18.96
L47 19.03
L48 18.95
L49 18.99
L50 18.99

