#ID T_min
L1 20.91
L2 21.83
L3 20.08
L4 19.90
L5 16.42
L6 16.44
L7 16.19
L8 15.94
L9 15.68
L10 15.15
L11 15.64
L12 15.16
L13 14.43
L14 14.25
L15 13.77
L16 13.90
L17 13.46
L18 13.43
L19 13.07
L20 13.12
L21 12.88
L22 13.01
L23 12.86
L24 13.14
L25 13.72
L26 13.56
L27 14.21
L28 13.76
L29 13.83
L30 14.47
L31 14.40
L32 14.93
L33 14.22
L34 13.54
L35 13.37
L36 13.24
L37 13.12
L38 13.50
L39 14.65
L40 16.17
L41 16.06
L42 15.10
L43 16.99
L44 13.60
L45 13.17
L46 13.22
L47 12.89
L48 13.05
L49 13.61
L50 13.71
L51 13.79
L52 13.83
L53 15.69
L54 15.49
L55 15.38
L56 16.26
L57 20.93
L58 19.10
L59 19.14
L60 18.15
L61 18.31
L62 17.99
L63 18.13
L64 19.13
L65 14.92
L66 15.66
L67 22.43
L68 24.04
L69 18.33
L70 14.87
L71 19.31
L72 21.58
L73 23.85
L74 21.41
L75 14.10
L76 13.52
L77 14.07
L78 15.07
L79 13.72
L80 13.92
