#ID T_min
L1 6.59
L2 6.55
L3 5.45
L4 4.53
L5 4.13
L6 3.10
L7 2.59
L8 0.98
L9 -0.33
L10 -0.66
L11 -1.80
L12 -2.51
L13 -3.08
L14 -3.98
L15 -4.05
L16 -3.99
L17 -4.06
L18 4.46 
L19 1.81 
L20 -0.31
L21 0.81 
L22 -7.07
L23 -7.44
L24 -7.76
L25 -7.88
L30 -7.08
L26 -3.01
L27 -1.96
L28 -5.76
L29 -6.22
L31 -4.68
L33 -1.23
L34 -0.64
L35 -2.07
L36 -0.49
L32 3.70 
L37 2.11 
L38 1.95 
L39 4.52 
L41 6.02 
L42 3.92 
L43 4.77 
L40 -5.00
L44 -3.78
L45 5.45 
L46 13.26
L47 5.68 
L48 9.25 
L49 3.10 
L50 -8.00
L51 -7.46
L52 -7.30
L53 -6.96
L54 -6.73
L55 -8.42
L56 -7.59
L57 -8.35
L58 -7.27
L59 -5.63
L60 -7.35
L61 -8.54
L62 -8.14
L63 -8.64
L64 -8.87
L65 -8.54
L66 -9.13
L67 -9.68
L68 -5.52
L69 -5.80
L70 -5.77
L71 -5.12
L72 -3.11
L73 0.76 
L74 -4.28
L75 -4.18
L76 -4.39
L77 -5.31
L78 -0.30
L79 -5.99
L80 -5.99
L81 -5.65
L82 -3.29
L83 -3.71
L84 -4.97
L85 6.92 
L86 17.37
L87 19.91

