#ID T_min
L1 13.65
L2 13.70
L3 13.04
L4 12.63
L5 11.97
L6 11.41
L7 11.25
L8 10.26
L9 9.81 
L10 9.21 
L11 8.50 
L12 8.11 
L13 7.78 
L14 7.29 
L15 7.17 
L16 7.24 
L17 7.06 
L18 12.61
L19 11.36
L20 9.72 
L21 10.04
L22 5.63 
L23 5.29 
L24 5.20 
L25 5.24 
L30 5.60 
L26 7.90 
L27 8.43 
L28 6.26 
L29 6.16 
L31 6.83 
L33 8.98 
L34 9.26 
L35 8.65 
L36 9.43 
L32 11.95
L37 10.91
L38 10.61
L39 12.87
L41 13.03
L42 11.74
L43 12.56
L40 7.02 
L44 7.48 
L45 12.91
L46 18.16
L47 13.57
L48 15.35
L49 11.64
L50 5.28 
L51 5.44 
L52 5.62 
L53 5.81 
L54 5.96 
L55 4.93 
L56 5.55 
L57 4.74 
L58 5.50 
L59 6.37 
L60 5.48 
L61 4.58 
L62 4.92 
L63 4.69 
L64 4.40 
L65 4.90 
L66 3.76 
L67 4.18 
L68 6.43 
L69 6.25 
L70 6.30 
L71 6.71 
L72 8.04 
L73 10.19
L74 7.62 
L75 7.37 
L76 7.41 
L77 6.85 
L78 9.53 
L79 6.42 
L80 6.30 
L81 6.79 
L82 8.08 
L83 7.55 
L84 6.83 
L85 14.25
L86 20.81
L87 22.55

