#ID T_min
L1 6.84
L2 6.70
L3 6.83
L4 6.70
L5 7.31
L6 7.23
L7 6.85
L8 7.06
L9 6.90
L10 7.10
L11 7.00
L12 6.81
L13 7.74
L14 6.52
L15 6.68
L16 7.73
L17 6.41
L18 6.70
L19 6.42
L20 6.43
L21 6.52
L22 7.47
L23 6.26
L24 5.31
L25 5.90
L26 6.06
L27 5.98
L28 5.97
L29 7.64
L30 7.46
L31 6.88
L32 5.39
L33 5.18
L34 5.51
L35 5.70
L36 5.12
L37 5.40
L38 6.68
L39 4.78
L40 4.72
L41 6.80
L42 6.28
L43 5.41
L44 5.84
L45 6.15
L46 6.43
L47 7.19
L48 6.28
L49 5.76
L50 6.30

